image_id,filename,brand,product_name,category,packaging_type,panel_type,ground_truth_status,statutory_citations,violation_details,declared_mrp,declared_net_qty,declared_usp,declared_date,manufacturer,has_consumer_care,width_px,height_px,aspect_ratio,size_kb,sha256_hash
LMP_011,11_maggi_pichkoo_sauce_front_compliant.jpg,Maggi,Pichkoo Rich Tomato Ketchup,Condiments & Sauces,Spouted Flexible Pouch,Front (PDP),COMPLIANT,None,None,₹15.00,90g,₹0.17/g,05/2026,Nestlé India Limited,True,4080,3072,1.328,2531.33,6a4736714a6840a56d653f4c411c3f46e41e1f996634572e142b59b197d1ca85
LMP_012,12_maggi_pichkoo_sauce_crimp_compliant.jpg,Maggi,Pichkoo Rich Tomato Ketchup,Condiments & Sauces,Spouted Flexible Pouch,Bottom Crimp Seal,COMPLIANT,None,None,₹15.00,90g,₹0.17/g,05/2026,Nestlé India Limited,True,4080,3072,1.328,2840.66,690548455bb406577c5e255675837b795d8ca1a4037795ca47c8800222f83bc0
LMP_013,13_suruchi_soysauce_missing_mrp.jpg,Suruchi,Dark Soy Sauce,Condiments & Sauces,Flexible Pouch,Front Panel,VIOLATION,Rule 6(1)(e),Missing MRP in primary front panel area,,100g,,08/2026,Suruchi Spices Pvt. Ltd.,True,4080,3072,1.328,2236.14,bf51ef2f33b16817b7b0d7dfd7fb8497e92bcaaaf933c7c2f3115424e8e93b65
LMP_014,14_suruchi_soysauce_missing_netqty_fail.jpg,Suruchi,Dark Soy Sauce,Condiments & Sauces,Flexible Pouch,Batch Coder Window,VIOLATION,"Rule 6(1)(a), Rule 12",Critical Defect: Net Quantity numerical value and unit omitted during batch coding,₹20.00,,,08/2026,Suruchi Spices Pvt. Ltd.,True,4080,3072,1.328,2513.27,e4c92b15d7deb38ec5e03a6e76734bd958c445257b591eb136c0ba844cb69a88
LMP_015,15_samrat_maida_flour_front_compliant.jpg,Samrat,MP Maida Flour,Packaged Staples,Polyethylene Bag,Front (PDP),COMPLIANT,None,None,₹45.00,500g,₹0.09/g,07/2026,Parakh Agro Industries Ltd.,True,4080,3072,1.328,3636.56,798279e1fb87849b220c87522e326773cb792adcb5b84303b481c7c3ebf67e1d
LMP_016,16_samrat_maida_flour_back_font_violation.jpg,Samrat,MP Maida Flour,Packaged Staples,Polyethylene Bag,Back Panel,VIOLATION,Schedule II,Font height violation under Schedule II,₹45.00,500g,₹0.09/g,07/2026,Parakh Agro Industries Ltd.,True,4080,3072,1.328,3960.18,0a5962343ba4f9a82da4f5ad7d04b8380c8abbe68c431ec60f59bc00fffbc6ce
LMP_017,17_chings_manchow_soup_missing_mfg_date.jpg,Ching's Secret,Manchow Instant Soup,Instant Foods,Laminated Pouch,Front (PDP),VIOLATION,Rule 6(1)(d),Date of manufacture/packing absent from front panel,₹15.00,21g,₹0.71/g,,Capital Foods Pvt. Ltd.,True,4080,3072,1.328,3220.9,62f5683a7d7efa24d9fb1afb0f6fb0d13a1e6a19bdf13d9bc518bedc14079053
LMP_018,18_chings_manchow_soup_back_font_violation.jpg,Ching's Secret,Manchow Instant Soup,Instant Foods,Laminated Pouch,Back Panel,VIOLATION,Schedule II,Font size infraction on mandatory manufacturer declaration,₹15.00,21g,₹0.71/g,08/2026,Capital Foods Pvt. Ltd.,True,4080,3072,1.328,2934.62,e2b9cee42408cde1f6f937d808faa9d6ee96a390a576bb96efe7c8a69192cf52
LMP_019,19_balaji_khatta_mitha_front_missing_mrp.jpg,Balaji Wafers,Khatta Mitha Mix,Savouries / Namkeen,Pillow Pouch,Front (PDP),VIOLATION,Rule 6(1)(e),Missing MRP on front PDP,,40g,₹0.25/g,06FEB26,Balaji Wafers Pvt. Ltd.,True,3456,4608,0.75,4702.29,52ac8ebdeb59fe822414b26b016c842ac2ed7c2c836db33063cb94eabfc73266
LMP_020,20_balaji_khatta_mitha_back_compliant.jpg,Balaji Wafers,Khatta Mitha Mix,Savouries / Namkeen,Pillow Pouch,Back Panel,COMPLIANT,None,None,₹10.00,40g,₹0.25/g,06FEB26,Balaji Wafers Pvt. Ltd.,True,3456,4608,0.75,5136.66,66e44ce8972cedec6c54c30c4bcbb3961492846f7d1525be6cdd5419536b527e
LMP_021,21_ponds_talc_curved_review.jpg,Pond's,Dreamflower Pink Lily Body Talc,Personal Care / Cosmetics,Curved Canister,Cylindrical Front,REVIEW,Rule 6(2),Geometry Review: Curvature causes optical character distortion,₹140.00,300g,,24 months from mfg,Hindustan Unilever Limited (HUL),True,4080,3072,1.328,2749.25,14e41998de81b01b10f1e750d5b96c20ee9ac2fb6d8244034cca0ba9080d427d
LMP_022,22_ponds_talc_cylindrical_review.jpg,Pond's,Dreamflower Pink Lily Body Talc,Personal Care / Cosmetics,Curved Canister,Cylindrical Side,REVIEW,Rule 6(2),Geometry Review: Severe cylindrical perspective skew,₹140.00,300g,,24 months from mfg,Hindustan Unilever Limited (HUL),True,4080,3072,1.328,2501.77,45b83ba510ce9777a6918eeec9972f4165eebb94090a3757b27af7c4928f013b
LMP_023,23_dark_fantasy_bourbon_box_placement_violation.jpg,Sunfeast,Dark Fantasy Bourbon Cookies,Biscuits & Confectionery,Carton Box,Top Flap,VIOLATION,Rule 6(2),Placement Violation: Mandatory declarations fragmented across box folds,₹142.00,450g,₹0.32/g,04/08/26,ITC Limited,True,4608,3456,1.333,5436.72,1b425453ed59a65aaea3ed4b839fc5e48267c5d14ce289f7a06d3c6577ef900e
LMP_024,24_dark_fantasy_bourbon_mrp_compliant.jpg,Sunfeast,Dark Fantasy Bourbon Cookies,Biscuits & Confectionery,Carton Box,MRP Stamp Window,COMPLIANT,None,None,₹142.00,450g,₹0.32/g,04/08/26,ITC Limited,True,4608,3456,1.333,4033.48,16f5cfd037edb5d9d9e17008a854f259e4038bece2ef7d8afe9ed5ec9db39478
LMP_025,25_dark_fantasy_bourbon_batch_compliant.jpg,Sunfeast,Dark Fantasy Bourbon Cookies,Biscuits & Confectionery,Carton Box,Batch Details,COMPLIANT,None,None,₹142.00,450g,₹0.32/g,04/08/26,ITC Limited,True,4608,3456,1.333,4065.91,ce8f89288b2d0622629ea2bb1ed72b99002ccaffee9e363b7c412c9477814295
LMP_026,26_packaged_staple_missing_consumer_care.jpg,Generic/Regional,Packaged Food Grain,Packaged Staples,Poly Pouch,Front (PDP),VIOLATION,Rule 6(1)(da),Consumer Care contact details absent,₹60.00,1kg,₹0.06/g,2026,Regional Packager,False,4080,3072,1.328,2250.47,9aaf061d0475efb06e66c95cf26565e7d72404d2a40ad22e217577c531a891bc
LMP_027,27_packaged_staple_mfg_panel_compliant.jpg,Generic/Regional,Packaged Food Grain,Packaged Staples,Poly Pouch,Back Panel,COMPLIANT,None,None,₹60.00,1kg,₹0.06/g,2026,Regional Packager,True,4080,3072,1.328,2602.93,3838776aa87ab052736d569577c4e68a2ca8d41ec73b6678864c2fda25a0f488
LMP_028,28_beverage_pouch_angled_review.jpg,Beverage Brand,Fruit Drink Pouch,Beverages,Stand-up Pouch,Angled Side,REVIEW,Rule 6(2),Geometry Review: Extreme camera angle (>35 deg),₹20.00,200ml,₹0.10/ml,2026,Beverage Bottling Co.,True,4080,3072,1.328,1993.77,75f2e45e1ee7aea6ca1ca2323b4bdf187de041757172f19420bd120886060d2e
LMP_029,29_snack_pouch_scattered_placement_violation.jpg,Snack Food Co.,Namkeen Mixture,Savouries / Namkeen,Pillow Pouch,Seam Edge,VIOLATION,Rule 6(2),Placement Violation: Mandatory text split across heat-seal crimp,₹10.00,45g,₹0.22/g,2026,Snack Foods Ltd.,True,4080,3072,1.328,2537.3,7e0e1b7dc8856d8eddff686b407934d0f41ce2f6fcb819a0ce83f40755e834f3
LMP_030,photo_2026-09-21_16-39-53 (2).jpg,Unlabeled Brand,Sample Commodity 30,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,1280,960,1.333,244.95,d2392a120b1d61c32a6c5e5a7bc1de0942d2b2a02ff3f975da0560ac6c5e1446
LMP_031,photo_2026-09-21_16-39-53.jpg,Unlabeled Brand,Sample Commodity 31,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,960,1280,0.75,263.38,b9a89d1af30786daf623263aaa76b88bc38c16440aa954c7fb6c658f74a1563b
LMP_032,photo_2026-09-21_19-56-33.jpg,Unlabeled Brand,Sample Commodity 32,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,960,1280,0.75,193.74,e1b994469c0654069ec8a9b74681b88cc9a83987f3207f106c6fb79f690540c7
LMP_033,photo_2026-09-21_19-56-34.jpg,Unlabeled Brand,Sample Commodity 33,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,960,1280,0.75,221.35,cba018f82da3a26eb216c7db0d82ca0902ccdcd3222372410824f6c9cd243c73
LMP_034,photo_2026-09-21_19-56-35.jpg,Unlabeled Brand,Sample Commodity 34,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,960,1280,0.75,219.26,8a27618b26ea7effdca7804c49d7cd24c321e60641e9cb344875ad891bf1aa08
LMP_035,photo_2026-09-21_19-56-36 (2).jpg,Unlabeled Brand,Sample Commodity 35,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,1280,960,1.333,179.74,b5caf2bad1e29903f78d384c494a80fc30fc5d201b1d39c62ae41ef924d9b312
LMP_036,photo_2026-09-21_19-56-36.jpg,Unlabeled Brand,Sample Commodity 36,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,1280,960,1.333,190.36,b0b528e9583e7f23dc4ef371a36f1cde902fac211b58295d801df7966e59f4b4
LMP_037,photo_2026-09-21_19-56-40.jpg,Unlabeled Brand,Sample Commodity 37,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,1280,960,1.333,200.24,abc1a3144f567be8f6071aeee12860ee8b50f217fbcfa4498c7e89f59207afed
LMP_038,photo_2026-09-21_19-56-41 (2).jpg,Unlabeled Brand,Sample Commodity 38,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,1280,960,1.333,173.17,0dbfd4b1f6fc35859c9b221486efd7f33277b6885bcc4897daaab1254eb42a33
LMP_039,photo_2026-09-21_19-56-41.jpg,Unlabeled Brand,Sample Commodity 39,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,1280,960,1.333,191.79,e1f9672b43dd21f00dc6efe995edca3564ab2175863d9a227aa6e991a1fba87a
LMP_040,photo_2026-09-21_19-56-42 (2).jpg,Unlabeled Brand,Sample Commodity 40,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,1280,960,1.333,184.88,bb24bfdc9a8cf89945136bef0f4b0008906f5681cac8e36d23d29fd0f666d069
LMP_041,photo_2026-09-21_19-56-42.jpg,Unlabeled Brand,Sample Commodity 41,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,1280,960,1.333,172.09,cfa2a8a1e54e0611e32a64a62bca68141843297d7b0c5d02b979ac195a7779a2
LMP_042,photo_2026-09-21_19-56-43 (2).jpg,Unlabeled Brand,Sample Commodity 42,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,1280,960,1.333,106.53,e44c69b13e5d9f539cce6d92aec0d1f1f11d997283ded77930f87801d40a5888
LMP_043,photo_2026-09-21_19-56-43 (3).jpg,Unlabeled Brand,Sample Commodity 43,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,1280,960,1.333,129.88,0074d89c183f1a84d78d16b02853f2c00a3dbc25a15b1b5019f8207e9942a931
LMP_044,photo_2026-09-21_19-56-43 (4).jpg,Unlabeled Brand,Sample Commodity 44,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,1280,960,1.333,104.86,88778af6fc418aaab3d864b977374dfa49f5df1b88fd6829e74a4f38d6bee798
LMP_045,photo_2026-09-21_19-56-43.jpg,Unlabeled Brand,Sample Commodity 45,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,1280,960,1.333,145.75,92e64dfa9934ee033f56f8c7101e7e4ddfcfb9189421c11ae9cacafd4b92d2ca
LMP_046,photo_2026-09-21_19-56-44 (2).jpg,Unlabeled Brand,Sample Commodity 46,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,960,1280,0.75,120.06,cb59f61661877782a70bad612192cb28f6e4609ec43fa5ececbfb28223ba63f7
LMP_047,photo_2026-09-21_19-56-44 (3).jpg,Unlabeled Brand,Sample Commodity 47,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,960,1280,0.75,82.18,6633c879e94e32008e4229af4ebca75ff803fed43be4a54daaec3a120b7d9be4
LMP_048,photo_2026-09-21_19-56-44.jpg,Unlabeled Brand,Sample Commodity 48,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,960,1280,0.75,79.9,b46bd10adccb600cad1e9fec925017eede39ffd82ad3ab95a0362576b5618b85
LMP_049,photo_2026-09-21_19-56-45 (2).jpg,Unlabeled Brand,Sample Commodity 49,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,960,1280,0.75,70.55,76da9ea7755b8ae8b935e881913702d0e1aea3aa7884ef359be259ae35308138
LMP_050,photo_2026-09-21_19-56-45 (3).jpg,Unlabeled Brand,Sample Commodity 50,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,960,1280,0.75,121.18,ff1321772d60b0e4a782ce6f84f152aca9c0828027c36426d33df0f795465226
LMP_051,photo_2026-09-21_19-56-45.jpg,Unlabeled Brand,Sample Commodity 51,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,960,1280,0.75,132.1,fd28402eb541ca83f6d8efcb45f59495dac7e2aae63e10100cb4596d8b49607b
LMP_052,photo_2026-09-21_19-56-46 (2).jpg,Unlabeled Brand,Sample Commodity 52,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,1280,960,1.333,150.33,b02f5aec98d156279b9d51d9d1b5ee53ad489428f98e40221d37e5b7fccf9d45
LMP_053,photo_2026-09-21_19-56-46 (3).jpg,Unlabeled Brand,Sample Commodity 53,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,1280,960,1.333,202.82,dc7b69a70d9b4b9181282f58594988cde1ce7b7cd997965d0c2b9bf4f34b242a
LMP_054,photo_2026-09-21_19-56-46.jpg,Unlabeled Brand,Sample Commodity 54,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,960,1280,0.75,111.32,f98b7e3ad0910c1fa90e74c563c612cc676f65e6a01bafc33b05f681d8d776e7
LMP_055,photo_2026-09-21_19-56-47 (2).jpg,Unlabeled Brand,Sample Commodity 55,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,1280,960,1.333,155.53,4aa1801ab096d59c941f8e292208bcef67f7c9839e8f8f4d3f4aba06cfcba128
LMP_056,photo_2026-09-21_19-56-47 (3).jpg,Unlabeled Brand,Sample Commodity 56,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,960,1280,0.75,137.34,d756e35c7a594a02db098f78d27e0295b1efa451c80db9f45442fa4b5d427ceb
LMP_057,photo_2026-09-21_19-56-47 (4).jpg,Unlabeled Brand,Sample Commodity 57,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,960,1280,0.75,168.75,b56b87892bb8046dcb40e5a29451c3ba140e7fb97c21a538f296716e3bdb8d32
LMP_058,photo_2026-09-21_19-56-47.jpg,Unlabeled Brand,Sample Commodity 58,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,1280,960,1.333,181.4,e077e0759c0e67e0a85d53178b86e46e9ed48cf1dd372b7ff273946eb2c835d4
LMP_059,photo_2026-09-21_19-56-48 (2).jpg,Unlabeled Brand,Sample Commodity 59,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,1280,960,1.333,150.67,0d513ddbd94b7f0c41f7a5d4c1977c0cb9e5d7ed825b4718c1ca8e6c253476e6
LMP_060,photo_2026-09-21_19-56-48 (3).jpg,Unlabeled Brand,Sample Commodity 60,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,1280,960,1.333,165.28,cd08e9e5c701e05e1e0b3d82220ba96fd7aa3d43d13df33bdfa17486b29ccbdb
LMP_061,photo_2026-09-21_19-56-48 (4).jpg,Unlabeled Brand,Sample Commodity 61,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,1280,960,1.333,114.46,e32f039f5403ff42b54d3079a511b59822f4cfe2ca790aa8cb321cca8a098644
LMP_062,photo_2026-09-21_19-56-48.jpg,Unlabeled Brand,Sample Commodity 62,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,1280,960,1.333,173.07,210ab5e273b3611dfc9d0021f4a60864853bf187790ac9bbcfb8374c0ddb1d96
LMP_063,photo_2026-09-21_19-56-49 (2).jpg,Unlabeled Brand,Sample Commodity 63,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,960,1280,0.75,121.41,6a0f074eccfcd435dc7c6d128142935f65034ab152b2600d59a0ceb6cffe3197
LMP_064,photo_2026-09-21_19-56-49 (3).jpg,Unlabeled Brand,Sample Commodity 64,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,960,1280,0.75,89.04,489ba195e954052f212182dae5c3809e7bccde53d6737d1b8be3d4b631b8853d
LMP_065,photo_2026-09-21_19-56-49 (4).jpg,Unlabeled Brand,Sample Commodity 65,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,960,1280,0.75,94.98,0e73a3df34b721ee2524e579c38019be88be4af14b329e7c08233944aae6f3ba
LMP_066,photo_2026-09-21_19-56-49.jpg,Unlabeled Brand,Sample Commodity 66,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,960,1280,0.75,109.62,68a074b87d274065285fa924e42c0adaad4ad8835a65fcb802e550ac1aecf75c
LMP_067,photo_2026-09-21_19-56-50 (2).jpg,Unlabeled Brand,Sample Commodity 67,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,960,1280,0.75,89.0,0ddb847d7a8f5654e63edb4b4f2a044c64e0dd4e7b55288848ec340f2a4af1fa
LMP_068,photo_2026-09-21_19-56-50 (3).jpg,Unlabeled Brand,Sample Commodity 68,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,960,1280,0.75,57.81,f5563fa78bb29cee97a2cb46f64243c1c5932ab9a1ad24c8e4a5b9abee797b97
LMP_069,photo_2026-09-21_19-56-50 (4).jpg,Unlabeled Brand,Sample Commodity 69,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,960,1280,0.75,76.38,4625115df7bf2799ac5fcc7d44f573de1e4c353ae6fd9f9a4502087a1e0455a8
LMP_070,photo_2026-09-21_19-56-50.jpg,Unlabeled Brand,Sample Commodity 70,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,960,1280,0.75,89.51,c64457a81c51da2cd572d018cad00557a0d88ac3b2b57ddbf55d097f3de30ba1
LMP_071,photo_2026-09-21_19-56-51 (2).jpg,Unlabeled Brand,Sample Commodity 71,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,1280,960,1.333,207.22,a52d55375519061942fda0c1a36b0bb68c3041c67d0b3b2875f47f3a77f4be73
LMP_072,photo_2026-09-21_19-56-51 (3).jpg,Unlabeled Brand,Sample Commodity 72,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,1280,960,1.333,152.27,b48d314138fd6a30c8a4f980bc1c734a7fa404e0be5342e30a5bf17f6a3fc482
LMP_073,photo_2026-09-21_19-56-51.jpg,Unlabeled Brand,Sample Commodity 73,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,960,1280,0.75,220.0,8bc2340d8e138883c2e7c513eba09cfc3157cb6525ef406558b4ea9f5818936c
LMP_074,photo_2026-09-21_19-56-52 (2).jpg,Unlabeled Brand,Sample Commodity 74,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,1280,960,1.333,218.29,d9fd831cc99289c9ffe87811fea07c0cbc014577d53a6ef14e4f04a6b863f86c
LMP_075,photo_2026-09-21_19-56-52 (3).jpg,Unlabeled Brand,Sample Commodity 75,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,1280,960,1.333,159.4,5ca800a3e3aebde0ba949ee950341415ae2f3c4a605ec4f3bb85321751642c29
